name,npdId,field,year,month,operationTime,operationTimeUom,wellStatus,oil,oilUom,gas,gasUom,condensate,condensateUom,water,waterUom
33/9-C-16 A,7878,STATFJORD ØST,2016,11,25.38,d,producing,4603,Sm3,652469,Sm3,,Sm3,5794,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2016,12,,d,,14006,Sm3,1987611,Sm3,,Sm3,28841,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,1,19.98,d,producing,6172,Sm3,876347,Sm3,,Sm3,14953,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,2,13.06,d,producing,1546,Sm3,219285,Sm3,,Sm3,9226,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,3,,d,,2839,Sm3,402431,Sm3,,Sm3,13529,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,4,20.99,d,producing,2939,Sm3,417285,Sm3,,Sm3,14642,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,5,.02,d,producing,0,Sm3,30,Sm3,,Sm3,1,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,6,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,7,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,8,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,9,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,10,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,11,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2017,12,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2018,1,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2018,2,0,d,closed,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2018,3,0,d,,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-16 A,7878,STATFJORD ØST,2018,4,,d,,0,Sm3,0,Sm3,,Sm3,0,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,3,29.25,d,,29993,Sm3,4259000,Sm3,,Sm3,8692,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,4,29.48,d,,28956,Sm3,4112000,Sm3,,Sm3,5786,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,5,27.29,d,,24775,Sm3,3518000,Sm3,,Sm3,4635,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,6,29.85,d,,21027,Sm3,2986000,Sm3,,Sm3,6768,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,7,30.96,d,,19812,Sm3,2813000,Sm3,,Sm3,6114,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,8,30.69,d,,18740,Sm3,2661000,Sm3,,Sm3,5748,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,9,29.44,d,,18406,Sm3,2614000,Sm3,,Sm3,7905,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,10,30.83,d,,19581,Sm3,2780000,Sm3,,Sm3,8709,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,11,29.9,d,,18222,Sm3,2588000,Sm3,,Sm3,8179,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2007,12,30.9,d,,17354,Sm3,2464000,Sm3,,Sm3,8791,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,1,30.92,d,,22251,Sm3,3160000,Sm3,,Sm3,10207,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,2,28.81,d,,21011,Sm3,2984000,Sm3,,Sm3,10280,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,3,28.4,d,,20903,Sm3,2968000,Sm3,,Sm3,10810,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,4,3.6,d,,2969,Sm3,422000,Sm3,,Sm3,1099,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,5,30.44,d,,18953,Sm3,2691000,Sm3,,Sm3,10557,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,6,29.67,d,,18201,Sm3,2585000,Sm3,,Sm3,11548,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,7,28.15,d,,17061,Sm3,2423000,Sm3,,Sm3,12814,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,8,30.5,d,,17416,Sm3,2473000,Sm3,,Sm3,13068,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,9,29.73,d,,15966,Sm3,2267000,Sm3,,Sm3,15744,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,10,31,d,,15932,Sm3,2262000,Sm3,,Sm3,14602,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,11,29,d,,14227,Sm3,2020000,Sm3,,Sm3,12798,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2008,12,30.94,d,,14660,Sm3,2082000,Sm3,,Sm3,16247,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2009,1,30.69,d,,14970,Sm3,2126000,Sm3,,Sm3,16958,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2009,2,30.96,d,,13356,Sm3,1896000,Sm3,,Sm3,16183,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2009,3,30.96,d,,13378,Sm3,1900000,Sm3,,Sm3,15669,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2009,4,29.67,d,,12029,Sm3,1708000,Sm3,,Sm3,12401,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2009,5,31,d,,13187,Sm3,1873000,Sm3,,Sm3,14627,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2009,6,28,d,,11302,Sm3,1605000,Sm3,,Sm3,16160,Sm3
33/9-C-33 A,5061,STATFJORD ØST,2009,7,28.77,d,,11254,Sm3,1591000,Sm3,,Sm3,19033,Sm3
