name,npdId,field,year,month,operationTime,operationTimeUom,wellStatus,oil,oilUom,gas,gasUom,condensate,condensateUom,water,waterUom
6407/9-A-1,2254,DRAUGEN,1994,6,,d,,172347,Sm3,7931000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1994,7,,d,,198022,Sm3,10221000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1994,8,,d,,201457,Sm3,11584000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1994,9,,d,,197711,Sm3,11087000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1994,10,,d,,195050,Sm3,10988000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1994,11,,d,,196044,Sm3,10255000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1994,12,,d,,176032,Sm3,9252000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,1,,d,,100984,Sm3,5261000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,2,,d,,142727,Sm3,7776000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,3,,d,,137993,Sm3,7715000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,4,,d,,145955,Sm3,8125000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,5,,d,,180236,Sm3,10270000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,6,,d,,92605,Sm3,5247000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,7,,d,,205669,Sm3,10558000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,8,,d,,195625,Sm3,10070000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,9,,d,,205326,Sm3,10750000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,10,,d,,212531,Sm3,11042000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,11,,d,,196001,Sm3,10241000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1995,12,,d,,172670,Sm3,9155000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1996,1,,d,,168522,Sm3,8735000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1996,2,,d,,141577,Sm3,7370000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1996,3,,d,,148489,Sm3,7763000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1996,4,,d,,108433,Sm3,5616000,Sm3,,Sm3,0,Sm3
6407/9-A-1,2254,DRAUGEN,1996,5,,d,,69106,Sm3,3741000,Sm3,,Sm3,0,Sm3
